"data";"valor"
"31/12/2003";"2,8884"
"02/01/2004";"2,8854"
"05/01/2004";"2,8619"
"06/01/2004";"2,8500"
"07/01/2004";"2,8715"
"08/01/2004";"2,8580"
"09/01/2004";"2,8414"
"12/01/2004";"2,8155"
"13/01/2004";"2,8014"
"14/01/2004";"2,8134"
"15/01/2004";"2,8118"
"16/01/2004";"2,8176"
"19/01/2004";"2,8411"
"20/01/2004";"2,8374"
"21/01/2004";"2,8409"
"22/01/2004";"2,8409"
"23/01/2004";"2,8427"
"26/01/2004";"2,8423"
"27/01/2004";"2,8579"
"28/01/2004";"2,8777"
"29/01/2004";"2,9228"
"30/01/2004";"2,9401"
"02/02/2004";"2,9478"
"03/02/2004";"2,9318"
"04/02/2004";"2,9098"
"05/02/2004";"2,9327"
"06/02/2004";"2,9492"
"09/02/2004";"2,9333"
"10/02/2004";"2,9190"
"11/02/2004";"2,9245"
"12/02/2004";"2,9034"
"13/02/2004";"2,9077"
"16/02/2004";"2,9058"
"17/02/2004";"2,9117"
"18/02/2004";"2,9288"
"19/02/2004";"2,9501"
"20/02/2004";"2,9870"
"25/02/2004";"2,9395"
"26/02/2004";"2,9361"
"27/02/2004";"2,9130"
"01/03/2004";"2,8937"
"02/03/2004";"2,9078"
"03/03/2004";"2,8804"
"04/03/2004";"2,8870"
"05/03/2004";"2,8782"
"08/03/2004";"2,8744"
"09/03/2004";"2,8750"
"10/03/2004";"2,8883"
"11/03/2004";"2,9124"
"12/03/2004";"2,9055"
"15/03/2004";"2,9005"
"16/03/2004";"2,8993"
"17/03/2004";"2,9062"
"18/03/2004";"2,9127"
"19/03/2004";"2,8992"
"22/03/2004";"2,9099"
"23/03/2004";"2,9136"
"24/03/2004";"2,9256"
"25/03/2004";"2,9329"
"26/03/2004";"2,9402"
"29/03/2004";"2,9357"
"30/03/2004";"2,9208"
"31/03/2004";"2,9078"
"01/04/2004";"2,8896"
"02/04/2004";"2,8922"
"05/04/2004";"2,8843"
"06/04/2004";"2,8735"
"07/04/2004";"2,8765"
"08/04/2004";"2,8794"
"12/04/2004";"2,8847"
"13/04/2004";"2,8843"
"14/04/2004";"2,8948"
"15/04/2004";"2,9056"
"16/04/2004";"2,9145"
"19/04/2004";"2,9093"
"20/04/2004";"2,9178"
"22/04/2004";"2,9297"
"23/04/2004";"2,9165"
"26/04/2004";"2,9077"
"27/04/2004";"2,9153"
"28/04/2004";"2,9327"
"29/04/2004";"2,9514"
"30/04/2004";"2,9439"
"03/05/2004";"2,9561"
"04/05/2004";"2,9688"
"05/05/2004";"2,9608"
"06/05/2004";"2,9891"
"07/05/2004";"3,0496"
"10/05/2004";"3,1241"
"11/05/2004";"3,1043"
"12/05/2004";"3,1203"
"13/05/2004";"3,1271"
"14/05/2004";"3,0974"
"17/05/2004";"3,1212"
"18/05/2004";"3,1161"
