Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
SE;SP;SOROCABA;COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA; 00.003.188/0001-21;RUA HUMBERTO DE CAMPOS;306;;JARDIM ZULMIRA;18061-000;GASOLINA;01/07/2020;3,559;3,253;R$ / litro;BRANCA
SE;SP;SOROCABA;COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA; 00.003.188/0001-21;RUA HUMBERTO DE CAMPOS;306;;JARDIM ZULMIRA;18061-000;ETANOL;01/07/2020;2,329;2,1193;R$ / litro;BRANCA
SE;SP;SOROCABA;COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA; 00.003.188/0001-21;RUA HUMBERTO DE CAMPOS;306;;JARDIM ZULMIRA;18061-000;DIESEL S10;01/07/2020;2,859;;R$ / litro;BRANCA
NE;BA;SALVADOR;PETROBRAS DISTRIBUIDORA S.A.; 34.274.233/0015-08;RUA EDISTIO PONDE;474;;STIEP;41770-395;GASOLINA;02/07/2020;4,29;3,7676;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;BA;SALVADOR;PETROBRAS DISTRIBUIDORA S.A.; 34.274.233/0015-08;RUA EDISTIO PONDE;474;;STIEP;41770-395;ETANOL;02/07/2020;3,29;2,6651;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;BA;SALVADOR;PETROBRAS DISTRIBUIDORA S.A.; 34.274.233/0015-08;RUA EDISTIO PONDE;474;;STIEP;41770-395;DIESEL S10;02/07/2020;2,99;3,0649;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;BA;SALVADOR;PETROBRAS DISTRIBUIDORA S.A.; 34.274.233/0015-08;RUA EDISTIO PONDE;474;;STIEP;41770-395;GNV;02/07/2020;3,02;2,0316;R$ / m³;PETROBRAS DISTRIBUIDORA S.A.
NE;AL;ARAPIRACA;AUTO POSTO MASSARANDUBA LTDA.; 07.248.398/0001-29;RODOVIA AL 220;4698;;PLANALTO;57308-000;GASOLINA;01/07/2020;4,18;3,57;R$ / litro;BRANCA
NE;AL;ARAPIRACA;AUTO POSTO MASSARANDUBA LTDA.; 07.248.398/0001-29;RODOVIA AL 220;4698;;PLANALTO;57308-000;ETANOL;01/07/2020;3,39;;R$ / litro;BRANCA
NE;AL;ARAPIRACA;AUTO POSTO MASSARANDUBA LTDA.; 07.248.398/0001-29;RODOVIA AL 220;4698;;PLANALTO;57308-000;DIESEL;01/07/2020;2,99;2,67;R$ / litro;BRANCA
